REF_AREA,COUNTERPART_AREA,weight
ABW,LSO,1.00302435808645e-05
ABW,LTU,9.486857569396308e-05
ABW,LUX,0.005688774708940923
ABW,LVA,0.00010073964294430908
ABW,MAC,0.00014441200180446688
ABW,MAR,0.0003040738690920734
ABW,MDA,3.4969854921701685e-06
ABW,MDG,6.818819492817774e-05
ABW,MDV,5.0456792784087716e-06
ABW,MEX,0.0018399482854296698
ABW,MKD,7.546222025287433e-05
ABW,MLI,8.349850379412807e-05
ABW,MLT,0.0013897935055744118
ABW,MMR,7.272950775668835e-05
ABW,MNE,1.6962427996109454e-05
ABW,MNG,7.3250664035145045e-06
ABW,MOZ,6.262606052330866e-05
ABW,MRT,5.054074192688036e-05
ABW,MSR,2.759307584622691e-05
ABW,MUS,0.0008292382154222679
ABW,MWI,0.0002494726750265987
ABW,MYS,0.0007765638220821698
ABW,NCL,1.4127633342287624e-05
ABW,NER,1.6878478853316818e-05
ABW,NGA,0.0007572333566661654
ABW,NIC,1.9247859459496262e-05
ABW,NLD,0.014213194308621883
ABW,NOR,0.001422563221361804
ABW,NPL,4.4036362343306685e-06
ABW,NZL,0.0009308032463385142
ABW,OMN,0.00016874314975834302
ABW,PAK,0.0014237264206843389
ABW,PAN,0.001028748390217542
ABW,PER,0.0002715116755856646
ABW,PHL,0.00031450639696520023
ABW,PNG,0.00028613360148071527
ABW,POL,0.0008342885958526731
ABW,PRK,2.0202864907905323e-05
ABW,PRT,0.0009156353152187401
ABW,PRY,1.0431184686842146e-05
ABW,PSE,1.2726690047364065e-06
ABW,PYF,2.463403646107198e-06
ABW,QAT,0.0009063310638247464
ABW,ROU,0.0004020572937802146
ABW,RUS,0.001288777166255458
ABW,RWA,5.468312842884033e-05
ABW,SAU,0.004411843102530078
ABW,SCG_F,4.9200913607909845e-06
ABW,SDN,6.159180708410334e-06
ABW,SEN,6.225668429502106e-06
ABW,SGP,0.013067013827907144
ABW,SLB,1.4882504034279035e-06
ABW,SLE,3.5810017942770416e-05
ABW,SLV,2.9470178679070323e-05
ABW,SOM,1.0510432677638399e-05
ABW,SRB,0.0001268263353722649
ABW,STP,3.684024182312168e-05
ABW,SUR,9.201631961844038e-05
ABW,SVK,0.00030428877889762256
ABW,SVN,0.00012515742641354722
ABW,SWE,0.0037195904119442687
ABW,SWZ,7.13843066925791e-05
ABW,SYC,0.0003441666365035531
ABW,SYR,1.0771010816866748e-05
ABW,TCA,8.507540449234501e-05
ABW,TCD,2.4203545256831326e-05
ABW,TGO,8.234202040301667e-05
ABW,THA,0.00097926003474471
ABW,TJK,9.284103599723526e-06
ABW,TKM,4.830097879717274e-05
ABW,TLS,2.552053940896224e-07
ABW,TON,1.2827429018715232e-07
ABW,TTO,0.00011611643953135119
ABW,TUN,8.594108805282269e-05
ABW,TUR,0.001138087783349529
ABW,TUV,5.641382395665338e-08
ABW,TWN,0.0009199462715994276
